SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.564274954,-1.1742,411.346,6,2,110.29,4,0.264,1
C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,0.557999793,-2.4448,311.332,6,2,110.29,4,0.137,1
C=[N+]([O-])c1cc(Cl)cc2cc(C=O)c(Cl)cc12,0.273145912,3.8015,268.099,2,0,43.14,2,0.95,1
C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,0.490251453,3.3238,271.316,3,1,58.89,6,0.9707,1
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,0.623885059,3.5957,331.375,5,1,60.05,3,0.936,1
C=CCSc1nc2ccccc2[nH]1,0.595229684,2.841,190.271,2,1,28.68,3,0.937,1
c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1,0.513854391,4.1682,311.348,3,2,70.25,2,0.97,1
c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,0.415737599,5.635,345.452,5,0,38.67,2,0.96,1
c1cc(N(CC2CO2)CC2CO2)ccc1Oc1ccc(N(CC2CO2)CC2CO2)cc1,0.485520706,2.6869,424.497,7,0,65.83,12,0.913,1
c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1,0.737235113,2.9088,298.338,4,0,43.52,7,0.958,1
c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,0.468458316,4.3263,296.333,3,1,54.46,1,0.892,1
c1ccc(-c2nc3ccccc3[nH]2)cc1,0.632617312,3.2299,194.237,1,1,28.68,1,0.879,1
c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,0.245091881,7.2004,442.566,4,0,35.64,7,0.81,1
c1ccc(Cc2ccc3ncccc3c2)cc1,0.638054264,3.8256,219.287,1,0,12.89,2,0.9654,1
c1ccc(Cc2cccc3ncccc23)cc1,0.638054264,3.8256,219.287,1,0,12.89,2,0.9474,1
c1ccc(N(CC2CO2)CC2CO2)cc1,0.678032221,1.2906,205.257,3,0,28.3,5,0.963,1
c1ccc2[nH]c(-c3ccncc3)nc2c1,0.648091739,2.6249,195.225,2,1,41.57,1,0.805,1
c1ccc2[nH]c(-c3cscn3)nc2c1,0.657282831,2.6864,201.254,3,1,41.57,1,0.861,1
c1ccc2[nH]c(CCc3nc4ccccc4[nH]3)nc2c1,0.595269966,3.2244,262.316,2,2,57.36,3,0.94,1
c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,0.378728031,4.5179,407.481,4,3,89.28,6,0.92,1
c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,0.53696154,2.729,277.331,3,3,69.39,4,0.886,1
c1ccc2[nH]c(COCc3nc4ccccc4[nH]3)nc2c1,0.602309053,3.156,278.315,3,2,66.59,4,0.95,1
c1ccc2[nH]c(CSCc3nc4ccccc4[nH]3)nc2c1,0.60041896,3.8726,294.383,3,2,57.36,4,0.96,1
c1ccc2[nH]c(SCSc3nc4ccccc4[nH]3)nc2c1,0.436026139,4.2811,312.423,4,2,57.36,4,0.971,1
c1ccc2[nH]c(SSc3nc4ccccc4[nH]3)nc2c1,0.55545248,4.2386,298.396,4,2,57.36,3,0.92,1
c1ccc2c(c1)N=C1CCCCC1C1(CCCCC1)N2,0.697015693,5.0777,268.404,2,1,24.39,0,0.897,1
c1ccc2ncccc2c1,0.531191558,2.2348,129.162,1,0,12.89,0,0.8296,1
c1ccc2sc(CCc3nc4ccccc4s3)nc2c1,0.547823603,4.6912,296.42,4,0,25.78,3,0.91,1
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,0.50555122,5.3394,328.487,5,0,25.78,4,0.93,1
c1cnc2c(c1)c1nc(-c3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)cc3)[nH]c1c1cccnc12,0.241289315,6.966,514.552,6,2,108.92,2,0.903,1
CC(=NOCn1cnnc1)c1cc(Cl)ccc1Cl,0.640663597,2.9832,285.134,5,0,52.3,4,0.98,1
CC(=NOCn1cnnc1)c1ccc(Cl)c(Cl)c1,0.640663597,2.9832,285.134,5,0,52.3,4,0.987,1
CC(=NOCn1cnnc1)c1ccc(Cl)cc1,0.618183602,2.3298,250.689,5,0,52.3,4,0.968,1
CC(=NOCn1cnnc1)c1ccc(F)cc1,0.598539534,1.8155,234.234,5,0,52.3,4,0.935,1
CC(=O)c1c(O)cc(C)oc1=O,0.631147388,0.85642,168.148,4,1,67.51,1,0.806,1
CC(=O)c1ccc(-n2ccnc2)cc1,0.672807286,2.0749,186.214,3,0,34.89,2,0.705,1
CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,0.599963401,3.85892,294.35,3,0,43.37,6,0.8537,1
CC(=O)N1N=C(Cn2cncn2)OC1c1ccc([N+](=O)[O-])cc1,0.615241469,1.0773,316.277,8,0,115.75,4,0.988,1
CC(=O)NCc1ccc(O)c2ncccc12,0.800653278,1.5765,216.24,3,2,62.22,2,0.919,1
CC(C)(C)c1ccc(CSc2nnc(Cn3cncn3)o2)cc1,0.668987264,3.2992,329.429,7,0,69.63,5,0.986,1
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,0.882795609,2.9651,274.32,4,2,71.45,2,0.949,1
CC(C)(c1ccc(OC(=S)SCC2CO2)cc1)c1ccc(OC(=S)SCC2CO2)cc1,0.348316717,5.6039,492.709,8,0,43.52,8,0.96,1
CC(C)(S)[C@@H](N)C(=O)O,0.488090598,0.1067,149.215,3,3,63.32,2,0.3,1
CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.487846583,4.0724,328.328,6,1,110.67,6,0.9346,1
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.842739226,2.9525,354.45,5,1,54.7,2,0.794,1
CC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.301956265,-1.099,399.207,2,1,45.34,4,0.888,1
CC1(C)COC(=S)N1,0.488145587,0.6697,131.2,2,1,21.26,0,0.78,1
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.553031528,0.0237,365.411,6,4,132.96,4,0.666,1
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.674878289,0.3181,349.412,5,3,112.73,4,0.824,1
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.79776327,0.8608,334.397,4,2,86.71,4,0.868,1
CC1(c2ccccc2)Nc2ccccc2N=C2CCCCC21,0.757842688,5.2902,290.41,2,1,24.39,1,0.933,1
Cc1cc(C)cc(C(O)NC(=S)NNC(=O)Cn2cncn2)c1,0.356568767,0.08134,334.405,6,4,104.1,4,0.948,1
Cc1cc(C)cc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)c1,0.492567582,5.61224,389.886,3,1,46.92,4,0.95,1
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,0.693701966,2.30364,290.754,4,1,59.28,4,0.93,1
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,0.693701966,2.30364,290.754,4,1,59.28,4,0.93,1
Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1,0.667637259,1.65024,256.309,4,1,59.28,4,0.757,1
Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,0.683686542,2.18522,212.256,2,2,57.36,2,0.8875,1
Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c(=O)o1,0.693869236,2.61592,299.326,5,1,70.75,4,0.898,1
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,0.593800404,3.09812,307.305,5,1,80.4,3,0.852,1
Cc1cc2nc(-c3ccc(Br)cc3)n(Cc3ccc(O)c4ncccc34)c2cc1C,0.341201529,6.38474,458.359,4,1,50.94,3,0.97,1
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.658777772,2.15392,239.278,3,1,54.35,3,0.815,1
