SMILES,IE,Concentration_mM
c1ccc2sc(CCc3nc4ccccc4s3)nc2c1,0.79,0.25
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,0.93,1
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,0.81,0.1
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,0.71,0.05
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,0.91,0.5
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,0.87,0.25
c1cnc2c(c1)c1nc(-c3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)cc3)[nH]c1c1cccnc12,0.903,1
c1cncc(-c2noc(-c3cccnc3)n2)c1,0.9185,0.2
c1cncc(-c2noc(-c3cccnc3)n2)c1,0.9354,0.4
c1cncc(-c2noc(-c3cccnc3)n2)c1,0.957,0.8
c1cncc(-c2noc(-c3cccnc3)n2)c1,0.9743,1.2
c1csc(-c2nnc(-c3cccs3)s2)c1,0.92,0.1
c1csc(-c2nnc(-c3cccs3)s2)c1,0.898,0.05
CC(=NOCn1cnnc1)c1cc(Cl)ccc1Cl,0.98,1
CC(=NOCn1cnnc1)c1ccc(Cl)c(Cl)c1,0.987,1
CC(=NOCn1cnnc1)c1ccc(Cl)cc1,0.968,1
CC(=NOCn1cnnc1)c1ccc(F)cc1,0.935,1
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Br)cc1,0.8958,0.01
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Br)cc1,0.9273,0.05
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(C)cc1,0.8988,0.01
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(C)cc1,0.9425,0.05
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Cl)cc1,0.8079,0.01
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Cl)cc1,0.9069,0.05
CC(=O)C(/N=N/c1ccccc1)=N\c1ccccc1,0.8974,0.01
CC(=O)C(/N=N/c1ccccc1)=N\c1ccccc1,0.9363,0.05
CC(=O)c1c(O)cc(C)oc1=O,0.806,1
CC(=O)c1ccc(-n2ccnc2)cc1,0.705,1
CC(=O)c1ccc(-n2ccnc2)cc1,0.438,0.1
CC(=O)c1ccc(-n2ccnc2)cc1,0.573,0.5
CC(=O)c1ccc(-n2ccnc2)cc1,0.772,5
CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,0.8537,1
CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,0.67,0.001
CC(=O)N1N=C(Cn2cncn2)OC1c1ccc([N+](=O)[O-])cc1,0.988,1
CC(=O)NCc1ccc(O)c2ncccc12,0.919,1
CC(C)(C)c1ccc(CSc2nnc(Cn3cncn3)o2)cc1,0.986,1
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,0.949,1
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,0.887,0.01
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,0.909,0.1
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,0.85,0.001
CC(C)(c1ccc(OC(=S)SCC2CO2)cc1)c1ccc(OC(=S)SCC2CO2)cc1,0.96,1
CC(C)(c1ccc(OC(=S)SCC2CO2)cc1)c1ccc(OC(=S)SCC2CO2)cc1,0.94,0.01
CC(C)(c1ccc(OC(=S)SCC2CO2)cc1)c1ccc(OC(=S)SCC2CO2)cc1,0.95,0.1
CC(C)(c1ccc(OC(=S)SCC2CO2)cc1)c1ccc(OC(=S)SCC2CO2)cc1,0.93,0.001
CC(C)(S)[C@@H](N)C(=O)O,0.3,1
CC(C)(S)[C@@H](N)C(=O)O,0.19,0.1
CC(C)(S)[C@@H](N)C(=O)O,0.24,0.5
CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.9346,1
CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.9204,0.1
CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.9273,0.5
CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.9682,5
CC(C)N(C(=S)NCc1ccccc1)C(C)C,0.92,0.01
CC(C)N(C(=S)NCc1ccccc1)C(C)C,0.96,0.1
CC(C)N(C(=S)NCc1ccccc1)C(C)C,0.83,0.005
CC(C)N(C(=S)NCc1ccccc1)C(C)C,0.97,0.2
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.6552,0.01
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.827,0.1
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.7533,0.05
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.8754,0.5
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.8035,0.01
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.8806,0.1
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.8504,0.05
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.9211,0.5
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.794,1
CC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.888,1
CC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.543,0.1
CC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.511,0.05
CC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.815,0.5
CC1(C)COC(=S)N1,0.624,0.1
CC1(C)COC(=S)N1,0.847,2
CC1(C)COC(=S)N1,0.78,1
CC1(C)COC(=S)N1,0.743,0.4
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.666,1
